BW    336 #MHz
FRES  1 #MHz
NFRB 7694 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
THRESH 4.4 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 9 # signal-to-noise threshold: scales jy ms to snr
KEY ID 		DM   DMG DMEG	Z       SNR     w
FRB 8126   464.7  35    379.7  0.283    16.4    3.0
FRB 8127   374.3  35    289.3  0.155    63.1    2.0
FRB 8129   148.3  35     63.3  0.057     9.0    0.0
FRB 8131   309.7  35    224.7  0.214    15.3    1.0
FRB 8132   388.8  35    303.8  0.484    15.5    1.0
FRB 8133   357.1  35    272.1  0.298    13.2    3.0
FRB 8135   553.3  35    468.3  0.170    13.4    2.0
FRB 8136   446.9  35    361.9  0.211    14.3    2.0
FRB 8137   647.0  35    562.0  0.397    14.7    2.0
FRB 8139   254.2  35    169.2  0.067     9.7    1.0
FRB 8140   859.6  35    774.6  0.426    21.1    3.0
FRB 8141   783.2  35    698.2  0.224   196.1    2.0
FRB 8143   334.6  35    249.6  0.138    20.1    2.0
FRB 8144   267.2  35    182.2  0.026    17.6    4.0
FRB 8145   483.0  35    398.0  0.379    14.0    1.0
FRB 8146   238.1  35    153.1  0.229    11.7    3.0
FRB 8148   252.6  35    167.6  0.097     9.8    0.0
FRB 8150   471.7  35    386.7  0.466    14.7    1.0
FRB 8151   337.3  35    252.3  0.373     9.3    2.0
FRB 8153   331.8  35    246.8  0.102    13.0    2.0
FRB 8155  1019.8  35    934.8  0.581    16.2    3.0
FRB 8156   600.7  35    515.7  0.609    10.9    3.0
FRB 8157   630.5  35    545.5  0.397    23.4    2.0
FRB 8159   360.0  35    275.0  0.222    61.5    1.0
FRB 8160   252.3  35    167.3  0.067    23.7    4.0
FRB 8161   302.9  35    217.9  0.135    12.0    2.0
FRB 8162   181.2  35     96.2  0.009    28.5    3.0
FRB 8163   317.6  35    232.6  0.080    23.3    4.0
FRB 8165   828.7  35    743.7  0.254    64.4    3.0
FRB 8166   769.1  35    684.1  0.254    10.3    4.0
FRB 8167   445.0  35    360.0  0.227    35.6    4.0
FRB 8168   416.7  35    331.7  0.009    60.0    3.0
FRB 8170   471.9  35    386.9  0.019    12.8    5.0
FRB 8171  1003.4  35    918.4  0.087    27.4    3.0
FRB 8172   215.1  35    130.1  0.055    50.6    1.0
FRB 8173   179.5  35     94.5  0.041    18.4    4.0
FRB 8175   203.2  35    118.2  0.022    10.7    3.0
FRB 8176   333.8  35    248.8  0.119    16.3    3.0
FRB 8178   416.6  35    331.6  0.341    28.4    3.0
FRB 8179   289.7  35    204.7  0.106    14.5    3.0
FRB 8180   535.7  35    450.7  0.582    55.4    2.0
FRB 8181   411.3  35    326.3  0.265    10.7    3.0
FRB 8182   656.9  35    571.9  0.430    25.8    2.0
FRB 8183   514.1  35    429.1  0.194    19.8    1.0
FRB 8184   146.3  35     61.3  0.008    79.2    2.0
FRB 8185   388.3  35    303.3  0.274    15.2    3.0
FRB 8187   387.4  35    302.4  0.147    15.5    2.0
FRB 8188   247.7  35    162.7  0.022    37.6    2.0
FRB 8189   511.1  35    426.1  0.054    33.3    3.0
FRB 8190   705.3  35    620.3  0.063     9.0    2.0
FRB 8191   284.9  35    199.9  0.066    14.2    3.0
FRB 8192   168.7  35     83.7  0.026    32.8    1.0
FRB 8193   210.1  35    125.1  0.167    14.1    0.0
FRB 8195   733.1  35    648.1  0.141    11.1    0.0
FRB 8196   131.6  35     46.6  0.039    29.2    4.0
FRB 8197   217.7  35    132.7  0.129    17.5    0.0
FRB 8199   330.0  35    245.0  0.211    11.2    3.0
FRB 8201   156.6  35     71.6  0.051    10.0    3.0
FRB 8203   521.2  35    436.2  0.319   157.1    0.0
FRB 8204   946.7  35    861.7  0.173    11.3    3.0
FRB 8206   296.7  35    211.7  0.136    46.3    3.0
FRB 8207   533.1  35    448.1  0.155    20.3    3.0
FRB 8208   253.9  35    168.9  0.074    12.9    3.0
FRB 8210   735.2  35    650.2  0.510    59.9    2.0
FRB 8211   354.2  35    269.2  0.391    15.6    2.0
FRB 8212   793.1  35    708.1  0.482    10.8    2.0
FRB 8213   679.1  35    594.1  0.534    20.2    2.0
FRB 8214   342.7  35    257.7  0.005    16.3    4.0
FRB 8216   507.3  35    422.3  0.578    13.1    1.0
FRB 8217   260.8  35    175.8  0.031    26.3    2.0
FRB 8218   394.9  35    309.9  0.300    39.6    2.0
FRB 8220   508.4  35    423.4  0.064     9.8    4.0
FRB 8222   438.5  35    353.5  0.302    17.9    3.0
FRB 8223   599.6  35    514.6  0.353    10.7    4.0
FRB 8224   369.9  35    284.9  0.166    29.7    1.0
FRB 8225   141.4  35     56.4  0.020    16.7    3.0
FRB 8226   958.0  35    873.0  0.387    14.1    3.0
FRB 8228   835.4  35    750.4  0.163    12.2    4.0
FRB 8230   271.2  35    186.2  0.247    12.3    3.0
FRB 8231   137.2  35     52.2  0.027   142.0    2.0
FRB 8232   251.4  35    166.4  0.056    25.4    2.0
FRB 8234   252.4  35    167.4  0.091    13.2    3.0
FRB 8236   479.6  35    394.6  0.170    14.7    4.0
FRB 8237   573.0  35    488.0  0.577    11.2    3.0
FRB 8238   662.0  35    577.0  0.465    14.5    3.0
FRB 8240   571.3  35    486.3  0.448    10.6    3.0
FRB 8242   327.0  35    242.0  0.145    11.6    3.0
FRB 8243   187.7  35    102.7  0.121    17.5    3.0
FRB 8245   605.9  35    520.9  0.427    16.1    3.0
FRB 8246   534.3  35    449.3  0.090   177.2    2.0
FRB 8247   403.7  35    318.7  0.139    13.8    2.0
FRB 8248   936.5  35    851.5  0.264    42.0    2.0
FRB 8250   251.5  35    166.5  0.183    19.8    2.0
FRB 8251   464.8  35    379.8  0.359    11.9    3.0
FRB 8253   196.2  35    111.2  0.019    28.1    4.0
FRB 8254   732.6  35    647.6  0.270     9.7    4.0
FRB 8255   810.1  35    725.1  0.463    22.8    1.0
FRB 8256   600.0  35    515.0  0.357    14.2    2.0
FRB 8257   411.2  35    326.2  0.382    24.1    4.0
FRB 8258   324.1  35    239.1  0.119    15.1    3.0
FRB 8260   242.5  35    157.5  0.150     9.6    4.0
FRB 8261   375.7  35    290.7  0.201    53.0    1.0
FRB 8262   292.5  35    207.5  0.213    17.9    4.0
FRB 8264   621.0  35    536.0  0.616    15.7    3.0
FRB 8265   328.7  35    243.7  0.319     9.4    4.0
FRB 8266   699.3  35    614.3  0.045    75.7    2.0
FRB 8268   542.5  35    457.5  0.202    86.3    2.0
FRB 8269   150.1  35     65.1  0.040    24.5    1.0
FRB 8270   384.4  35    299.4  0.353    13.7    3.0
FRB 8271   576.2  35    491.2  0.612    25.5    2.0
FRB 8272   515.4  35    430.4  0.459    19.2    2.0
FRB 8273   472.5  35    387.5  0.202    18.3    2.0
FRB 8275   223.9  35    138.9  0.084    13.6    3.0
FRB 8276   230.9  35    145.9  0.153    85.5    3.0
FRB 8278   691.2  35    606.2  0.134    11.9    4.0
FRB 8279   414.8  35    329.8  0.125    19.9    1.0
FRB 8281   582.1  35    497.1  0.497    19.3    1.0
FRB 8282   394.0  35    309.0  0.233    24.3    3.0
FRB 8283   214.6  35    129.6  0.066    34.9    2.0
FRB 8284   692.2  35    607.2  0.523    13.5    3.0
FRB 8285   621.9  35    536.9  0.372    17.9    3.0
FRB 8287   572.7  35    487.7  0.446    10.1    3.0
FRB 8289   258.7  35    173.7  0.239    17.3    1.0
FRB 8290   414.9  35    329.9  0.457    10.8    3.0
FRB 8291   444.7  35    359.7  0.135    24.7    3.0
FRB 8292   330.2  35    245.2  0.139    14.1    2.0
FRB 8294   283.7  35    198.7  0.079   142.1    3.0
FRB 8295  1504.8  35   1419.8  0.210    11.6    2.0
FRB 8296   340.2  35    255.2  0.200    23.4    3.0
FRB 8298   351.8  35    266.8  0.276    20.4    2.0
FRB 8299   253.0  35    168.0  0.130    17.3    2.0
FRB 8300   229.9  35    144.9  0.059    10.6    4.0
FRB 8302   346.4  35    261.4  0.137    33.2    2.0
FRB 8303   592.2  35    507.2  0.452    25.5    0.0
FRB 8304   333.9  35    248.9  0.122     9.7    1.0
FRB 8305   606.3  35    521.3  0.196    24.7    3.0
FRB 8306   545.2  35    460.2  0.320    18.3    2.0
FRB 8307   299.2  35    214.2  0.050    16.6    1.0
FRB 8309   711.6  35    626.6  0.675    11.0    2.0
FRB 8310   642.6  35    557.6  0.680    40.5    2.0
FRB 8312   838.9  35    753.9  0.311    18.8    2.0
FRB 8313   685.5  35    600.5  0.150    10.4    3.0
FRB 8314   535.2  35    450.2  0.478    15.9    2.0
FRB 8315   790.6  35    705.6  0.191    59.5    1.0
FRB 8316   255.3  35    170.3  0.205    19.4    3.0
FRB 8318   340.8  35    255.8  0.177    14.0    5.0
FRB 8319   328.8  35    243.8  0.214    10.5    1.0
FRB 8321   363.4  35    278.4  0.124    18.8    3.0
FRB 8322  1045.2  35    960.2  0.597    16.0    2.0
FRB 8323   175.4  35     90.4  0.095   195.4    1.0
FRB 8324   229.7  35    144.7  0.124     9.7    2.0
FRB 8326   555.4  35    470.4  0.235    12.6    2.0
FRB 8328   194.8  35    109.8  0.084    10.5    2.0
FRB 8329   349.4  35    264.4  0.094    38.6    4.0
FRB 8331   571.5  35    486.5  0.543    10.8    2.0
FRB 8332  1014.6  35    929.6  0.359    20.6    4.0
FRB 8333   617.0  35    532.0  0.510    23.9    1.0
FRB 8334   441.9  35    356.9  0.289    24.9    3.0
FRB 8335   668.6  35    583.6  0.272    20.4    3.0
FRB 8337   366.5  35    281.5  0.134    20.4    2.0
FRB 8338   569.6  35    484.6  0.220    47.6    4.0
FRB 8339   337.9  35    252.9  0.136    21.3    2.0
FRB 8340   591.5  35    506.5  0.322    11.2    2.0
FRB 8341   455.2  35    370.2  0.487    47.4    3.0
FRB 8342   224.5  35    139.5  0.016    15.4    2.0
FRB 8343   205.0  35    120.0  0.069    14.1    2.0
FRB 8344   458.4  35    373.4  0.509    14.3    2.0
FRB 8345   224.7  35    139.7  0.147    21.1    2.0
FRB 8347   342.5  35    257.5  0.184    11.4    3.0
FRB 8349   258.6  35    173.6  0.002    11.5    4.0
FRB 8350   284.6  35    199.6  0.095    44.8    2.0
FRB 8352   391.2  35    306.2  0.312     9.8    2.0
FRB 8353   291.0  35    206.0  0.069    37.9    4.0
FRB 8354   352.2  35    267.2  0.175    19.5    1.0
FRB 8355   413.3  35    328.3  0.209    28.6    3.0
FRB 8357   280.2  35    195.2  0.228    10.5    2.0
FRB 8359   656.9  35    571.9  0.273    22.3    2.0
FRB 8360   251.8  35    166.8  0.228    22.9    1.0
FRB 8361   488.0  35    403.0  0.278    10.4    3.0
FRB 8363   456.9  35    371.9  0.136     9.2    0.0
FRB 8364   365.6  35    280.6  0.375    22.1    2.0
FRB 8365   581.9  35    496.9  0.069    17.8    3.0
FRB 8367   506.8  35    421.8  0.128    78.2    2.0
FRB 8368   331.6  35    246.6  0.187    22.1    2.0
FRB 8369   180.7  35     95.7  0.014    14.5    3.0
FRB 8370   458.1  35    373.1  0.359    15.9    3.0
FRB 8371   430.5  35    345.5  0.197   107.1    3.0
FRB 8372  1195.7  35   1110.7  0.455     9.2    3.0
FRB 8373   507.8  35    422.8  0.323    22.8    4.0
FRB 8374   289.3  35    204.3  0.260    15.0    3.0
FRB 8375   266.3  35    181.3  0.008    35.6    3.0
FRB 8376   639.9  35    554.9  0.598    23.6    2.0
FRB 8378   576.0  35    491.0  0.254    16.2    2.0
FRB 8379   413.7  35    328.7  0.335    16.7    3.0
FRB 8380   346.4  35    261.4  0.100    11.3    4.0
FRB 8382   302.6  35    217.6  0.131    16.7    3.0
FRB 8383   112.5  35     27.5  0.011    13.0    0.0
FRB 8384  1205.9  35   1120.9  0.338    33.7    3.0
FRB 8385   237.2  35    152.2  0.235    29.9    3.0
FRB 8386   279.6  35    194.6  0.016    34.3    3.0
FRB 8387   369.8  35    284.8  0.267    19.7    2.0
FRB 8388   409.9  35    324.9  0.506    41.5    1.0
FRB 8389   503.5  35    418.5  0.374    18.0    3.0
FRB 8390   298.9  35    213.9  0.116    19.3    1.0
FRB 8391   498.6  35    413.6  0.374    26.7    4.0
FRB 8393   608.5  35    523.5  0.193    10.6    3.0
FRB 8394   406.0  35    321.0  0.223    25.9    4.0
FRB 8396   519.5  35    434.5  0.270    32.6    3.0
FRB 8397   192.7  35    107.7  0.118    36.4    3.0
FRB 8398  3109.7  35   3024.7  0.181    18.6    3.0
FRB 8399   636.2  35    551.2  0.679     9.5    3.0
FRB 8401   411.5  35    326.5  0.503    12.4    1.0
FRB 8402   307.8  35    222.8  0.140    16.6    1.0
FRB 8403   244.9  35    159.9  0.199    93.9    2.0
FRB 8405   257.3  35    172.3  0.086    13.2    2.0
FRB 8407   481.9  35    396.9  0.398    10.7    4.0
FRB 8408   646.4  35    561.4  0.422    29.6    2.0
FRB 8409   176.2  35     91.2  0.077    34.0    2.0
FRB 8411   272.5  35    187.5  0.150    12.2    4.0
FRB 8413   184.3  35     99.3  0.105    10.2    4.0
FRB 8415   335.1  35    250.1  0.088    10.5    3.0
FRB 8416   511.8  35    426.8  0.319    44.6    2.0
FRB 8418   309.8  35    224.8  0.080    91.0    1.0
FRB 8419   333.0  35    248.0  0.018    13.5    1.0
FRB 8420   607.0  35    522.0  0.337    27.4    3.0
FRB 8421   244.1  35    159.1  0.065    15.2    4.0
FRB 8423   725.2  35    640.2  0.389     9.0    2.0
FRB 8425   691.0  35    606.0  0.394    16.8    3.0
FRB 8426   582.1  35    497.1  0.631    17.1    2.0
FRB 8427   470.0  35    385.0  0.252    51.6    2.0
FRB 8428   601.5  35    516.5  0.162    16.8    3.0
FRB 8429   566.0  35    481.0  0.092    18.3    2.0
FRB 8430   451.5  35    366.5  0.166    24.3    2.0
FRB 8431   472.8  35    387.8  0.317     9.1    2.0
FRB 8432   282.2  35    197.2  0.189    28.3    2.0
FRB 8433   272.8  35    187.8  0.215    32.4    4.0
FRB 8434   580.3  35    495.3  0.538    16.6    3.0
FRB 8436   189.6  35    104.6  0.054    17.4    2.0
FRB 8437   169.0  35     84.0  0.051    10.3    4.0
FRB 8438   349.0  35    264.0  0.111    33.9    3.0
FRB 8439   341.4  35    256.4  0.166    14.5    3.0
FRB 8441   568.5  35    483.5  0.261    47.1    1.0
FRB 8442   377.5  35    292.5  0.184    49.8    4.0
FRB 8443   462.4  35    377.4  0.385    20.9    2.0
FRB 8444   330.8  35    245.8  0.212    17.6    3.0
FRB 8445   269.0  35    184.0  0.169    11.1    3.0
FRB 8446   323.8  35    238.8  0.109   249.9    4.0
FRB 8447   236.1  35    151.1  0.203    17.3    3.0
FRB 8448   560.2  35    475.2  0.475    14.1    3.0
FRB 8449   170.2  35     85.2  0.083    31.0    0.0
FRB 8451   345.4  35    260.4  0.057    79.5    4.0
FRB 8452   630.8  35    545.8  0.516     9.2    2.0
FRB 8454   289.2  35    204.2  0.007    12.8    2.0
FRB 8455   199.2  35    114.2  0.144    24.5    2.0
FRB 8456   193.5  35    108.5  0.079    29.7    4.0
FRB 8457   415.6  35    330.6  0.073    35.0    2.0
FRB 8458   403.3  35    318.3  0.505    21.6    2.0
FRB 8460   467.4  35    382.4  0.569    14.5    3.0
FRB 8461   863.2  35    778.2  0.086    26.9    3.0
FRB 8462   478.3  35    393.3  0.168    11.1    2.0
FRB 8464   400.9  35    315.9  0.090    58.1    2.0
FRB 8465   378.9  35    293.9  0.068   643.3    1.0
FRB 8466   342.8  35    257.8  0.168     9.8    3.0
FRB 8467   483.1  35    398.1  0.314    17.6    1.0
FRB 8469   204.6  35    119.6  0.067    14.0    2.0
FRB 8470   753.1  35    668.1  0.430    15.0    2.0
FRB 8471   390.7  35    305.7  0.039    30.1    2.0
FRB 8472   291.3  35    206.3  0.282    22.5    2.0
FRB 8473   372.2  35    287.2  0.289    18.3    2.0
FRB 8475   424.6  35    339.6  0.266    12.3    3.0
FRB 8476   240.1  35    155.1  0.124    21.6    4.0
FRB 8477   138.2  35     53.2  0.013    15.6    3.0
FRB 8478   381.0  35    296.0  0.028   149.5    1.0
FRB 8480   452.6  35    367.6  0.201    13.2    3.0
FRB 8481   588.5  35    503.5  0.132    25.9    2.0
FRB 8483   395.6  35    310.6  0.205    11.1    4.0
FRB 8485   270.0  35    185.0  0.256    11.5    2.0
FRB 8486   175.1  35     90.1  0.097    16.9    0.0
FRB 8487   603.2  35    518.2  0.383    17.0    3.0
FRB 8488   621.9  35    536.9  0.462    25.9    2.0
FRB 8489   146.0  35     61.0  0.024    75.1    3.0
FRB 8490   188.1  35    103.1  0.007   667.1    1.0
FRB 8491   934.1  35    849.1  0.455    18.2    1.0
FRB 8493   348.8  35    263.8  0.261    13.1    5.0
FRB 8495   562.5  35    477.5  0.405    13.7    2.0
FRB 8497   287.6  35    202.6  0.157    23.3    1.0
FRB 8498   220.4  35    135.4  0.031    15.5    3.0
FRB 8499   982.4  35    897.4  0.103    17.3    3.0
FRB 8500   336.3  35    251.3  0.325    73.5    1.0
FRB 8501   526.2  35    441.2  0.237    12.2    2.0
FRB 8502   837.8  35    752.8  0.539    21.0    2.0
FRB 8504   353.8  35    268.8  0.216    26.3    3.0
FRB 8505   334.6  35    249.6  0.158    10.3    3.0
FRB 8506   167.7  35     82.7  0.002   116.1    3.0
FRB 8508   200.9  35    115.9  0.086    36.4    3.0
FRB 8509   719.5  35    634.5  0.513    13.8    2.0
FRB 8510   581.1  35    496.1  0.534    16.3    2.0
FRB 8512   242.1  35    157.1  0.059    10.4    4.0
FRB 8514   417.9  35    332.9  0.273    14.2    3.0
FRB 8515   582.0  35    497.0  0.138    24.0    1.0
FRB 8516   145.8  35     60.8  0.049    24.0    1.0
FRB 8517   382.3  35    297.3  0.320    10.2    3.0
FRB 8519   455.5  35    370.5  0.349    49.6    3.0
FRB 8520   204.6  35    119.6  0.078    47.0    2.0
FRB 8521  1004.6  35    919.6  0.283    26.0    4.0
FRB 8522   282.9  35    197.9  0.219    15.7    2.0
FRB 8523   458.8  35    373.8  0.492    12.7    1.0
FRB 8525   248.5  35    163.5  0.184    30.3    0.0
FRB 8526   608.1  35    523.1  0.459    19.0    1.0
FRB 8527   276.9  35    191.9  0.049    10.7    2.0
FRB 8529   235.8  35    150.8  0.024    20.6    3.0
FRB 8530   582.4  35    497.4  0.227    16.5    0.0
FRB 8531   372.8  35    287.8  0.401    16.0    2.0
FRB 8532   244.5  35    159.5  0.155    14.7    1.0
FRB 8533   227.6  35    142.6  0.095    15.9    3.0
FRB 8534   335.9  35    250.9  0.066    19.3    2.0
FRB 8535   509.6  35    424.6  0.306     9.4    4.0
FRB 8536   342.6  35    257.6  0.179    26.8    2.0
FRB 8538   627.1  35    542.1  0.422    16.4    0.0
FRB 8539   143.0  35     58.0  0.050    53.3    4.0
FRB 8540   734.6  35    649.6  0.490    17.3    2.0
FRB 8541   307.7  35    222.7  0.035    23.0    5.0
FRB 8542   389.5  35    304.5  0.088    36.2    2.0
FRB 8543   525.7  35    440.7  0.216     9.8    3.0
FRB 8544   635.3  35    550.3  0.320    15.6    2.0
FRB 8545   393.2  35    308.2  0.448    15.7    2.0
FRB 8547   226.9  35    141.9  0.137    20.4    3.0
FRB 8548   184.3  35     99.3  0.151    11.1    2.0
FRB 8550   881.8  35    796.8  0.413    17.2    2.0
FRB 8551   224.6  35    139.6  0.045   363.4    3.0
FRB 8552  1051.1  35    966.1  0.413     9.7    2.0
FRB 8554   645.0  35    560.0  0.106    31.2    3.0
FRB 8555   641.8  35    556.8  0.246     9.2    3.0
FRB 8557   496.5  35    411.5  0.486    15.6    1.0
FRB 8558   488.0  35    403.0  0.208    24.2    1.0
FRB 8559   400.4  35    315.4  0.015    15.3    3.0
FRB 8560   615.0  35    530.0  0.616    10.8    3.0
FRB 8561   434.2  35    349.2  0.545    18.0    3.0
FRB 8562   284.3  35    199.3  0.161    30.5    2.0
FRB 8563   580.9  35    495.9  0.121    20.2    3.0
FRB 8564   286.9  35    201.9  0.090    43.3    3.0
FRB 8566   650.0  35    565.0  0.652    10.2    2.0
FRB 8567   442.7  35    357.7  0.420    16.2    3.0
FRB 8568   278.9  35    193.9  0.190    16.2    3.0
FRB 8570   662.5  35    577.5  0.142    23.6    3.0
FRB 8571   270.8  35    185.8  0.211   179.9    1.0
FRB 8572   380.3  35    295.3  0.405    10.6    4.0
FRB 8573   390.2  35    305.2  0.309    16.1    2.0
FRB 8575   595.2  35    510.2  0.578    26.8    1.0
FRB 8576   408.5  35    323.5  0.238    13.1    4.0
FRB 8577   482.7  35    397.7  0.521    20.3    3.0
FRB 8578   381.1  35    296.1  0.163    15.8    5.0
FRB 8580   357.9  35    272.9  0.039   714.0    0.0
FRB 8581   175.0  35     90.0  0.037    10.4    1.0
FRB 8582   220.1  35    135.1  0.056    14.2    1.0
FRB 8584   134.6  35     49.6  0.002    12.7    2.0
FRB 8586   725.0  35    640.0  0.230    54.2    4.0
FRB 8587   470.0  35    385.0  0.134    10.5    1.0
FRB 8588   295.3  35    210.3  0.065    55.2    2.0
FRB 8589   663.8  35    578.8  0.506    16.3    2.0
FRB 8590   315.3  35    230.3  0.209    41.7    3.0
FRB 8591   323.4  35    238.4  0.023    27.9    2.0
FRB 8593   411.7  35    326.7  0.037    12.2    3.0
FRB 8594   178.4  35     93.4  0.036    26.7    2.0
FRB 8596   306.1  35    221.1  0.000    69.5    4.0
FRB 8597   285.2  35    200.2  0.261    12.9    5.0
FRB 8598   290.9  35    205.9  0.170    16.5    2.0
FRB 8599   801.5  35    716.5  0.430    42.5    3.0
FRB 8600   320.6  35    235.6  0.218   109.0    0.0
FRB 8601   307.5  35    222.5  0.040    21.5    0.0
FRB 8602   300.5  35    215.5  0.083    26.7    0.0
FRB 8604   203.9  35    118.9  0.109    13.9    3.0
FRB 8605   206.4  35    121.4  0.201    23.5    2.0
FRB 8607   388.7  35    303.7  0.106    36.0    1.0
FRB 8608   561.3  35    476.3  0.572     9.2    2.0
FRB 8609   514.1  35    429.1  0.414    14.5    3.0
FRB 8610   246.8  35    161.8  0.168    18.4    3.0
FRB 8611   283.9  35    198.9  0.054    18.0    3.0
FRB 8612   452.9  35    367.9  0.483    21.9    3.0
FRB 8613   279.6  35    194.6  0.210    50.6    2.0
FRB 8615   207.9  35    122.9  0.148    25.8    2.0
FRB 8616   123.8  35     38.8  0.007    18.9    3.0
FRB 8617   376.0  35    291.0  0.174     9.4    5.0
FRB 8619   248.3  35    163.3  0.066    10.7    1.0
FRB 8620   491.0  35    406.0  0.088   195.2    3.0
FRB 8621   520.6  35    435.6  0.550    15.0    3.0
FRB 8622   291.7  35    206.7  0.300    22.7    1.0
FRB 8623   804.0  35    719.0  0.161    80.0    1.0
FRB 8625   409.1  35    324.1  0.355    13.8    3.0
FRB 8627   495.7  35    410.7  0.396    11.0    2.0
